action,group,payoff,player,round,reputation,avg_action,wealth
,9,0,3,43,reputation = 0,0.42105263157894735,2800.0
1.0,9,-150,3,44,reputation = 0,0.45,2650.0
0.0,9,0,3,45,reputation = 0,0.42857142857142855,2650.0
0.0,9,0,3,46,reputation = 0,0.4090909090909091,2650.0
0.0,9,0,3,47,reputation = 0,0.391304347826087,2650.0
,9,250,3,48,reputation = 0,0.391304347826087,2900.0
,9,0,3,49,reputation = 0,0.391304347826087,2900.0
1.0,9,-150,3,50,reputation = 0,0.4166666666666667,2750.0
1.0,9,-150,3,51,reputation = 0,0.44,2600.0
,9,0,3,52,reputation = 0,0.44,2600.0
,9,0,3,53,reputation = 0,0.44,2600.0
0.0,9,0,3,54,reputation = 0,0.4230769230769231,2600.0
,9,0,3,55,reputation = 0,0.4230769230769231,2600.0
0.0,9,0,3,56,reputation = 0,0.4074074074074074,2600.0
0.0,9,0,3,57,reputation = 0,0.39285714285714285,2600.0
,9,0,3,58,reputation = 0,0.39285714285714285,2600.0
0.0,9,0,3,59,reputation = 0,0.3793103448275862,2600.0
0.0,9,0,3,60,reputation = 0,0.36666666666666664,2600.0
,9,0,3,61,reputation = 0,0.36666666666666664,2600.0
,9,250,3,62,reputation = 0,0.36666666666666664,2850.0
,9,0,3,63,reputation = 0,0.36666666666666664,2850.0
0.0,9,0,3,64,reputation = 0,0.3548387096774194,2850.0
,9,0,3,65,reputation = 0,0.3548387096774194,2850.0
,9,0,3,66,reputation = 0,0.3548387096774194,2850.0
,9,0,3,67,reputation = 0,0.3548387096774194,2850.0
0.0,9,0,3,68,reputation = 0,0.34375,2850.0
0.0,9,0,3,69,reputation = 0,0.3333333333333333,2850.0
,9,0,3,70,reputation = 0,0.3333333333333333,2850.0
,9,0,3,71,reputation = 0,0.3333333333333333,2850.0
,9,0,3,72,reputation = 0,0.3333333333333333,2850.0
0.0,9,0,3,73,reputation = 0,0.3235294117647059,2850.0
0.0,9,0,3,74,reputation = 0,0.3142857142857143,2850.0
0.0,9,0,3,75,reputation = 0,0.3055555555555556,2850.0
,9,0,3,76,reputation = 0,0.3055555555555556,2850.0
0.0,9,0,3,77,reputation = 0,0.2972972972972973,2850.0
