version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,9,16,1.0,0.75625,2422.0
disincentivized strategic,reputation = 0,081106_1449,9,17,1.0,0.7705882352941176,2582.0
disincentivized strategic,reputation = 0,081106_1449,9,18,1.0,0.7833333333333333,2742.0
disincentivized strategic,reputation = 0,081106_1449,9,19,1.0,0.7947368421052632,2902.0
disincentivized strategic,reputation = 0,081106_1449,9,20,1.0,0.805,3062.0
disincentivized strategic,reputation = 0,081106_1449,9,21,1.0,0.8142857142857144,3222.0
disincentivized strategic,reputation = 0,081106_1449,9,22,1.0,0.8227272727272728,3382.0
disincentivized strategic,reputation = 0,081106_1449,9,23,1.0,0.8304347826086957,3542.0
disincentivized strategic,reputation = 0,081106_1449,9,24,1.0,0.8375,3702.0
disincentivized strategic,reputation = 0,081106_1449,10,1,0.8,0.8,124.0
disincentivized strategic,reputation = 0,081106_1449,10,2,0.8,0.8,272.0
disincentivized strategic,reputation = 0,081106_1449,10,3,0.5,0.7000000000000001,426.0
disincentivized strategic,reputation = 0,081106_1449,10,4,0.5,0.65,532.0
disincentivized strategic,reputation = 0,081106_1449,10,5,0.5,0.62,646.0
disincentivized strategic,reputation = 0,081106_1449,10,6,0.5,0.6,768.0
disincentivized strategic,reputation = 0,081106_1449,10,7,0.7,0.6142857142857142,894.0
disincentivized strategic,reputation = 0,081106_1449,10,8,1.0,0.6625,1022.0
disincentivized strategic,reputation = 0,081106_1449,10,9,1.0,0.7,1182.0
disincentivized strategic,reputation = 0,081106_1449,10,10,1.0,0.73,1342.0
disincentivized strategic,reputation = 0,081106_1449,10,11,1.0,0.7545454545454546,1502.0
disincentivized strategic,reputation = 0,081106_1449,10,12,1.0,0.775,1662.0
disincentivized strategic,reputation = 0,081106_1449,10,13,1.0,0.7923076923076924,1822.0
disincentivized strategic,reputation = 0,081106_1449,10,14,1.0,0.8071428571428572,1982.0
disincentivized strategic,reputation = 0,081106_1449,10,15,1.0,0.8200000000000001,2142.0
disincentivized strategic,reputation = 0,081106_1449,10,16,1.0,0.83125,2302.0
disincentivized strategic,reputation = 0,081106_1449,10,17,1.0,0.8411764705882353,2462.0
disincentivized strategic,reputation = 0,081106_1449,10,18,1.0,0.8500000000000001,2622.0
disincentivized strategic,reputation = 0,081106_1449,10,19,1.0,0.8578947368421053,2782.0
disincentivized strategic,reputation = 0,081106_1449,10,20,1.0,0.865,2942.0
disincentivized strategic,reputation = 0,081106_1449,10,21,1.0,0.8714285714285714,3102.0
disincentivized strategic,reputation = 0,081106_1449,10,22,1.0,0.8772727272727273,3262.0
disincentivized strategic,reputation = 0,081106_1449,10,23,1.0,0.8826086956521739,3422.0
disincentivized strategic,reputation = 0,081106_1449,10,24,1.0,0.8875000000000001,3582.0
disincentivized strategic,reputation = 0,081106_1449,11,1,0.5,0.5,130.0
disincentivized strategic,reputation = 0,081106_1449,11,2,0.35,0.425,267.0
disincentivized strategic,reputation = 0,081106_1449,11,3,0.32,0.38999999999999996,376.60001
disincentivized strategic,reputation = 0,081106_1449,11,4,0.46,0.4075,487.39999000000006
disincentivized strategic,reputation = 0,081106_1449,11,5,0.45,0.41600000000000004,606.40002
disincentivized strategic,reputation = 0,081106_1449,11,6,0.6,0.4466666666666667,718.40002
disincentivized strategic,reputation = 0,081106_1449,11,7,0.5,0.4542857142857143,852.4000199999999
disincentivized strategic,reputation = 0,081106_1449,11,8,0.52,0.4625,966.0
disincentivized strategic,reputation = 0,081106_1449,11,9,0.5,0.4666666666666667,1096.0
disincentivized strategic,reputation = 0,081106_1449,11,10,0.54,0.47400000000000003,1213.2
disincentivized strategic,reputation = 0,081106_1449,11,11,0.4,0.46727272727272734,1329.2
disincentivized strategic,reputation = 0,081106_1449,11,12,0.45,0.4658333333333334,1440.2
disincentivized strategic,reputation = 0,081106_1449,11,13,0.5,0.46846153846153854,1566.2
disincentivized strategic,reputation = 0,081106_1449,11,14,0.75,0.4885714285714286,1671.2
disincentivized strategic,reputation = 0,081106_1449,11,15,0.45,0.48600000000000004,1802.2
disincentivized strategic,reputation = 0,081106_1449,11,16,0.46,0.48437500000000006,1917.0
disincentivized strategic,reputation = 0,081106_1449,11,17,0.75,0.5,2042.0
disincentivized strategic,reputation = 0,081106_1449,11,18,0.5,0.5,2164.0
disincentivized strategic,reputation = 0,081106_1449,11,19,0.38,0.49368421052631584,2280.3999
disincentivized strategic,reputation = 0,081106_1449,11,20,0.35,0.48650000000000004,2389.3999
disincentivized strategic,reputation = 0,081106_1449,11,21,0.55,0.4895238095238096,2510.3999
disincentivized strategic,reputation = 0,081106_1449,11,22,0.5,0.49000000000000005,2624.3999
disincentivized strategic,reputation = 0,081106_1449,11,23,0.43,0.4873913043478261,2731.8
disincentivized strategic,reputation = 0,081106_1449,11,24,0.38,0.4829166666666667,2832.2
disincentivized strategic,reputation = 0,081106_1449,12,1,0.5,0.5,130.0
disincentivized strategic,reputation = 0,081106_1449,12,2,0.55,0.525,247.0
disincentivized strategic,reputation = 0,081106_1449,12,3,0.2,0.4166666666666667,368.60001
disincentivized strategic,reputation = 0,081106_1449,12,4,0.25,0.375,500.39999000000006
disincentivized strategic,reputation = 0,081106_1449,12,5,0.35,0.37,629.40002
