reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,11,26,0.0,35,0.42857142857142855,1085
reputation = 0,3,11,27,0.0,35,0.4090909090909091,1120
reputation = 0,3,11,28,0.0,35,0.391304347826087,1155
reputation = 0,3,11,29,,35,0.391304347826087,1190
reputation = 0,3,11,30,0.0,35,0.375,1225
reputation = 0,3,12,1,0.0,35,0.0,35
reputation = 0,3,12,2,1.0,50,0.5,85
reputation = 0,3,12,3,1.0,0,0.6666666666666666,85
reputation = 0,3,12,4,1.0,0,0.75,85
reputation = 0,3,12,5,,35,0.75,120
reputation = 0,3,12,6,1.0,50,0.8,170
reputation = 0,3,12,7,,35,0.8,205
reputation = 0,3,12,8,0.0,35,0.6666666666666666,240
reputation = 0,3,12,9,,35,0.6666666666666666,275
reputation = 0,3,12,10,,35,0.6666666666666666,310
reputation = 0,3,12,11,,35,0.6666666666666666,345
reputation = 0,3,12,12,1.0,0,0.7142857142857143,345
reputation = 0,3,12,13,1.0,50,0.75,395
reputation = 0,3,12,14,,35,0.75,430
reputation = 0,3,12,15,0.0,35,0.6666666666666666,465
reputation = 0,3,12,16,,35,0.6666666666666666,500
reputation = 0,3,12,17,0.0,35,0.6,535
reputation = 0,3,12,18,,35,0.6,570
reputation = 0,3,12,19,0.0,35,0.5454545454545454,605
reputation = 0,3,12,20,,35,0.5454545454545454,640
reputation = 0,3,12,21,,35,0.5454545454545454,675
reputation = 0,3,12,22,1.0,0,0.5833333333333334,675
reputation = 0,3,12,23,0.0,70,0.5384615384615384,745
reputation = 0,3,12,24,,35,0.5384615384615384,780
reputation = 0,3,12,25,0.0,70,0.5,850
reputation = 0,3,12,26,0.0,35,0.4666666666666667,885
reputation = 0,3,12,27,0.0,35,0.4375,920
reputation = 0,3,12,28,0.0,35,0.4117647058823529,955
reputation = 0,3,12,29,0.0,35,0.3888888888888889,990
reputation = 0,3,12,30,0.0,35,0.3684210526315789,1025
reputation = 0,3,13,1,1.0,50,1.0,50
reputation = 0,3,13,2,1.0,50,1.0,100
reputation = 0,3,13,3,1.0,0,1.0,100
reputation = 0,3,13,4,1.0,0,1.0,100
reputation = 0,3,13,5,,35,1.0,135
reputation = 0,3,13,6,1.0,50,1.0,185
reputation = 0,3,13,7,,35,1.0,220
reputation = 0,3,13,8,1.0,50,1.0,270
reputation = 0,3,13,9,1.0,50,1.0,320
reputation = 0,3,13,10,,35,1.0,355
reputation = 0,3,13,11,0.0,35,0.875,390
reputation = 0,3,13,12,0.0,35,0.7777777777777778,425
reputation = 0,3,13,13,0.0,35,0.7,460
reputation = 0,3,13,14,0.0,70,0.6363636363636364,530
reputation = 0,3,13,15,0.0,35,0.5833333333333334,565
reputation = 0,3,13,16,,35,0.5833333333333334,600
reputation = 0,3,13,17,1.0,0,0.6153846153846154,600
reputation = 0,3,13,18,,35,0.6153846153846154,635
reputation = 0,3,13,19,1.0,0,0.6428571428571429,635
reputation = 0,3,13,20,,35,0.6428571428571429,670
reputation = 0,3,13,21,,35,0.6428571428571429,705
reputation = 0,3,13,22,0.0,35,0.6,740
reputation = 0,3,13,23,,35,0.6,775
reputation = 0,3,13,24,,35,0.6,810
reputation = 0,3,13,25,,35,0.6,845
reputation = 0,3,13,26,0.0,35,0.5625,880
reputation = 0,3,13,27,,35,0.5625,915
reputation = 0,3,13,28,0.0,35,0.5294117647058824,950
reputation = 0,3,13,29,0.0,35,0.5,985
reputation = 0,3,13,30,,35,0.5,1020
reputation = 0,3,14,1,0.0,35,0.0,35
reputation = 0,3,14,2,1.0,50,0.5,85
reputation = 0,3,14,3,1.0,0,0.6666666666666666,85
reputation = 0,3,14,4,1.0,0,0.75,85
reputation = 0,3,14,5,1.0,50,0.8,135
reputation = 0,3,14,6,1.0,50,0.8333333333333334,185
reputation = 0,3,14,7,1.0,50,0.8571428571428571,235
reputation = 0,3,14,8,1.0,0,0.875,235
reputation = 0,3,14,9,0.0,70,0.7777777777777778,305
reputation = 0,3,14,10,,35,0.7777777777777778,340
reputation = 0,3,14,11,0.0,35,0.7,375
reputation = 0,3,14,12,1.0,50,0.7272727272727273,425
reputation = 0,3,14,13,,35,0.7272727272727273,460
reputation = 0,3,14,14,,35,0.7272727272727273,495
reputation = 0,3,14,15,0.0,35,0.6666666666666666,530
reputation = 0,3,14,16,,35,0.6666666666666666,565
reputation = 0,3,14,17,0.0,35,0.6153846153846154,600
reputation = 0,3,14,18,,35,0.6153846153846154,635
reputation = 0,3,14,19,1.0,0,0.6428571428571429,635
reputation = 0,3,14,20,,35,0.6428571428571429,670
reputation = 0,3,14,21,,35,0.6428571428571429,705
reputation = 0,3,14,22,0.0,35,0.6,740
reputation = 0,3,14,23,,35,0.6,775
reputation = 0,3,14,24,0.0,35,0.5625,810
reputation = 0,3,14,25,0.0,35,0.5294117647058824,845
reputation = 0,3,14,26,0.0,35,0.5,880
reputation = 0,3,14,27,,35,0.5,915
reputation = 0,3,14,28,0.0,35,0.47368421052631576,950
reputation = 0,3,14,29,0.0,35,0.45,985
reputation = 0,3,14,30,,35,0.45,1020
reputation = 0,3,15,1,0.0,35,0.0,35
reputation = 0,3,15,2,,35,0.0,70
reputation = 0,3,15,3,0.0,35,0.0,105
reputation = 0,3,15,4,1.0,0,0.3333333333333333,105
reputation = 0,3,15,5,1.0,50,0.5,155
reputation = 0,3,15,6,1.0,0,0.6,155
reputation = 0,3,15,7,1.0,50,0.6666666666666666,205
reputation = 0,3,15,8,1.0,50,0.7142857142857143,255
reputation = 0,3,15,9,0.0,70,0.625,325
reputation = 0,3,15,10,0.0,70,0.5555555555555556,395
reputation = 0,3,15,11,0.0,35,0.5,430
reputation = 0,3,15,12,,35,0.5,465
reputation = 0,3,15,13,1.0,50,0.5454545454545454,515
reputation = 0,3,15,14,0.0,35,0.5,550
reputation = 0,3,15,15,0.0,35,0.46153846153846156,585
reputation = 0,3,15,16,1.0,50,0.5,635
reputation = 0,3,15,17,0.0,35,0.4666666666666667,670
reputation = 0,3,15,18,,35,0.4666666666666667,705
reputation = 0,3,15,19,0.0,70,0.4375,775
reputation = 0,3,15,20,,35,0.4375,810
reputation = 0,3,15,21,,35,0.4375,845
reputation = 0,3,15,22,0.0,35,0.4117647058823529,880
reputation = 0,3,15,23,,35,0.4117647058823529,915
reputation = 0,3,15,24,0.0,35,0.3888888888888889,950
reputation = 0,3,15,25,0.0,35,0.3684210526315789,985
reputation = 0,3,15,26,,35,0.3684210526315789,1020
reputation = 0,3,15,27,,35,0.3684210526315789,1055
reputation = 0,3,15,28,0.0,35,0.35,1090
reputation = 0,3,15,29,0.0,35,0.3333333333333333,1125
reputation = 0,3,15,30,,35,0.3333333333333333,1160
reputation = 0,3,16,1,1.0,50,1.0,50
reputation = 0,3,16,2,1.0,50,1.0,100
reputation = 0,3,16,3,,35,1.0,135
reputation = 0,3,16,4,0.0,70,0.6666666666666666,205
reputation = 0,3,16,5,,35,0.6666666666666666,240
reputation = 0,3,16,6,0.0,35,0.5,275
reputation = 0,3,16,7,1.0,50,0.6,325
reputation = 0,3,16,8,1.0,0,0.6666666666666666,325
reputation = 0,3,16,9,0.0,70,0.5714285714285714,395
reputation = 0,3,16,10,,35,0.5714285714285714,430
reputation = 0,3,16,11,0.0,35,0.5,465
reputation = 0,3,16,12,0.0,70,0.4444444444444444,535
reputation = 0,3,16,13,,35,0.4444444444444444,570
reputation = 0,3,16,14,1.0,0,0.5,570
reputation = 0,3,16,15,0.0,35,0.45454545454545453,605
reputation = 0,3,16,16,,35,0.45454545454545453,640
reputation = 0,3,16,17,1.0,0,0.5,640
reputation = 0,3,16,18,0.0,35,0.46153846153846156,675
reputation = 0,3,16,19,0.0,70,0.42857142857142855,745
reputation = 0,3,16,20,,35,0.42857142857142855,780
reputation = 0,3,16,21,0.0,70,0.4,850
reputation = 0,3,16,22,0.0,35,0.375,885
reputation = 0,3,16,23,0.0,35,0.35294117647058826,920
reputation = 0,3,16,24,0.0,35,0.3333333333333333,955
