reputation,group,player,round,action,avg_action,wealth
reputation = 0,1,17,25,0,0.08,1687.0
reputation = 0,1,18,1,0,0.0,
reputation = 0,1,18,2,0,0.0,
reputation = 0,1,18,3,0,0.0,
reputation = 0,1,18,4,1,0.25,
reputation = 0,1,18,5,1,0.4,
reputation = 0,1,18,6,1,0.5,
reputation = 0,1,18,7,0,0.42857142857142855,
reputation = 0,1,18,8,0,0.375,
reputation = 0,1,18,9,0,0.3333333333333333,
reputation = 0,1,18,10,0,0.3,
reputation = 0,1,18,11,0,0.2727272727272727,
reputation = 0,1,18,12,0,0.25,
reputation = 0,1,18,13,0,0.23076923076923078,
reputation = 0,1,18,14,0,0.21428571428571427,
reputation = 0,1,18,15,0,0.2,
reputation = 0,1,18,16,0,0.1875,
reputation = 0,1,18,17,0,0.17647058823529413,
reputation = 0,1,18,18,0,0.16666666666666666,
reputation = 0,1,18,19,0,0.15789473684210525,
reputation = 0,1,18,20,0,0.15,
reputation = 0,1,18,21,0,0.14285714285714285,
reputation = 0,1,18,22,0,0.13636363636363635,
reputation = 0,1,18,23,0,0.13043478260869565,
reputation = 0,1,18,24,0,0.125,
reputation = 0,1,18,25,0,0.12,1594.0
reputation = 0,1,19,1,1,1.0,
reputation = 0,1,19,2,1,1.0,
reputation = 0,1,19,3,1,1.0,
reputation = 0,1,19,4,1,1.0,
reputation = 0,1,19,5,1,1.0,
reputation = 0,1,19,6,1,1.0,
reputation = 0,1,19,7,1,1.0,
reputation = 0,1,19,8,1,1.0,
reputation = 0,1,19,9,1,1.0,
reputation = 0,1,19,10,1,1.0,
reputation = 0,1,19,11,1,1.0,
reputation = 0,1,19,12,1,1.0,
reputation = 0,1,19,13,1,1.0,
reputation = 0,1,19,14,1,1.0,
reputation = 0,1,19,15,1,1.0,
reputation = 0,1,19,16,1,1.0,
reputation = 0,1,19,17,1,1.0,
reputation = 0,1,19,18,1,1.0,
reputation = 0,1,19,19,1,1.0,
reputation = 0,1,19,20,1,1.0,
reputation = 0,1,19,21,1,1.0,
reputation = 0,1,19,22,1,1.0,
reputation = 0,1,19,23,1,1.0,
reputation = 0,1,19,24,1,1.0,
reputation = 0,1,19,25,1,1.0,1092.0
reputation = 0,1,20,1,1,1.0,
reputation = 0,1,20,2,1,1.0,
reputation = 0,1,20,3,1,1.0,
reputation = 0,1,20,4,1,1.0,
reputation = 0,1,20,5,1,1.0,
reputation = 0,1,20,6,1,1.0,
reputation = 0,1,20,7,1,1.0,
reputation = 0,1,20,8,1,1.0,
reputation = 0,1,20,9,1,1.0,
reputation = 0,1,20,10,1,1.0,
reputation = 0,1,20,11,1,1.0,
reputation = 0,1,20,12,1,1.0,
reputation = 0,1,20,13,1,1.0,
reputation = 0,1,20,14,1,1.0,
reputation = 0,1,20,15,1,1.0,
reputation = 0,1,20,16,1,1.0,
reputation = 0,1,20,17,1,1.0,
reputation = 0,1,20,18,1,1.0,
reputation = 0,1,20,19,1,1.0,
reputation = 0,1,20,20,1,1.0,
reputation = 0,1,20,21,1,1.0,
reputation = 0,1,20,22,1,1.0,
reputation = 0,1,20,23,1,1.0,
reputation = 0,1,20,24,1,1.0,
reputation = 0,1,20,25,1,1.0,1218.0
reputation = 0,1,21,1,1,1.0,
reputation = 0,1,21,2,0,0.5,
reputation = 0,1,21,3,0,0.3333333333333333,
reputation = 0,1,21,4,0,0.25,
reputation = 0,1,21,5,0,0.2,
reputation = 0,1,21,6,0,0.16666666666666666,
reputation = 0,1,21,7,0,0.14285714285714285,
reputation = 0,1,21,8,0,0.125,
reputation = 0,1,21,9,0,0.1111111111111111,
reputation = 0,1,21,10,0,0.1,
reputation = 0,1,21,11,0,0.09090909090909091,
reputation = 0,1,21,12,0,0.08333333333333333,
reputation = 0,1,21,13,0,0.07692307692307693,
reputation = 0,1,21,14,0,0.07142857142857142,
reputation = 0,1,21,15,0,0.06666666666666667,
reputation = 0,1,21,16,0,0.0625,
reputation = 0,1,21,17,0,0.058823529411764705,
reputation = 0,1,21,18,0,0.05555555555555555,
reputation = 0,1,21,19,0,0.05263157894736842,
reputation = 0,1,21,20,0,0.05,
reputation = 0,1,21,21,0,0.047619047619047616,
reputation = 0,1,21,22,0,0.045454545454545456,
reputation = 0,1,21,23,0,0.043478260869565216,
reputation = 0,1,21,24,0,0.041666666666666664,
reputation = 0,1,21,25,0,0.04,1921.0
reputation = 0,1,22,1,1,1.0,
reputation = 0,1,22,2,0,0.5,
reputation = 0,1,22,3,0,0.3333333333333333,
reputation = 0,1,22,4,1,0.5,
reputation = 0,1,22,5,0,0.4,
reputation = 0,1,22,6,0,0.3333333333333333,
reputation = 0,1,22,7,0,0.2857142857142857,
reputation = 0,1,22,8,0,0.25,
reputation = 0,1,22,9,0,0.2222222222222222,
reputation = 0,1,22,10,0,0.2,
reputation = 0,1,22,11,0,0.18181818181818182,
reputation = 0,1,22,12,1,0.25,
reputation = 0,1,22,13,1,0.3076923076923077,
reputation = 0,1,22,14,0,0.2857142857142857,
reputation = 0,1,22,15,0,0.26666666666666666,
reputation = 0,1,22,16,0,0.25,
reputation = 0,1,22,17,0,0.23529411764705882,
reputation = 0,1,22,18,0,0.2222222222222222,
reputation = 0,1,22,19,0,0.21052631578947367,
reputation = 0,1,22,20,1,0.25,
reputation = 0,1,22,21,0,0.23809523809523808,
reputation = 0,1,22,22,0,0.22727272727272727,
reputation = 0,1,22,23,0,0.21739130434782608,
reputation = 0,1,22,24,0,0.20833333333333334,
reputation = 0,1,22,25,1,0.24,1380.0
reputation = 0,1,23,1,1,1.0,
reputation = 0,1,23,2,0,0.5,
reputation = 0,1,23,3,0,0.3333333333333333,
reputation = 0,1,23,4,1,0.5,
reputation = 0,1,23,5,1,0.6,
reputation = 0,1,23,6,1,0.6666666666666666,
reputation = 0,1,23,7,1,0.7142857142857143,
reputation = 0,1,23,8,0,0.625,
reputation = 0,1,23,9,0,0.5555555555555556,
reputation = 0,1,23,10,1,0.6,
reputation = 0,1,23,11,0,0.5454545454545454,
reputation = 0,1,23,12,1,0.5833333333333334,
reputation = 0,1,23,13,1,0.6153846153846154,
reputation = 0,1,23,14,1,0.6428571428571429,
reputation = 0,1,23,15,0,0.6,
reputation = 0,1,23,16,0,0.5625,
reputation = 0,1,23,17,0,0.5294117647058824,
reputation = 0,1,23,18,0,0.5,
reputation = 0,1,23,19,0,0.47368421052631576,
reputation = 0,1,23,20,1,0.5,
reputation = 0,1,23,21,0,0.47619047619047616,
reputation = 0,1,23,22,0,0.45454545454545453,
reputation = 0,1,23,23,1,0.4782608695652174,
reputation = 0,1,23,24,1,0.5,
reputation = 0,1,23,25,0,0.48,1294.0
reputation = 0,1,24,1,0,0.0,
reputation = 0,1,24,2,0,0.0,
reputation = 0,1,24,3,0,0.0,
reputation = 0,1,24,4,0,0.0,
reputation = 0,1,24,5,0,0.0,
reputation = 0,1,24,6,0,0.0,
reputation = 0,1,24,7,0,0.0,
reputation = 0,1,24,8,0,0.0,
reputation = 0,1,24,9,0,0.0,
reputation = 0,1,24,10,0,0.0,
reputation = 0,1,24,11,0,0.0,
reputation = 0,1,24,12,0,0.0,
reputation = 0,1,24,13,0,0.0,
reputation = 0,1,24,14,0,0.0,
reputation = 0,1,24,15,0,0.0,
reputation = 0,1,24,16,0,0.0,
reputation = 0,1,24,17,0,0.0,
reputation = 0,1,24,18,0,0.0,
reputation = 0,1,24,19,0,0.0,
reputation = 0,1,24,20,0,0.0,
reputation = 0,1,24,21,0,0.0,
reputation = 0,1,24,22,0,0.0,
reputation = 0,1,24,23,0,0.0,
reputation = 0,1,24,24,0,0.0,
reputation = 0,1,24,25,0,0.0,1960.0
reputation = 0,2,25,1,0,0.0,
reputation = 0,2,25,2,0,0.0,
reputation = 0,2,25,3,0,0.0,
reputation = 0,2,25,4,1,0.25,
reputation = 0,2,25,5,0,0.2,
reputation = 0,2,25,6,0,0.16666666666666666,
reputation = 0,2,25,7,0,0.14285714285714285,
reputation = 0,2,25,8,0,0.125,
reputation = 0,2,25,9,0,0.1111111111111111,
reputation = 0,2,25,10,0,0.1,
reputation = 0,2,25,11,0,0.09090909090909091,
reputation = 0,2,25,12,0,0.08333333333333333,
reputation = 0,2,25,13,0,0.07692307692307693,
reputation = 0,2,25,14,0,0.07142857142857142,
reputation = 0,2,25,15,0,0.06666666666666667,
reputation = 0,2,25,16,0,0.0625,
reputation = 0,2,25,17,0,0.058823529411764705,
reputation = 0,2,25,18,0,0.05555555555555555,
reputation = 0,2,25,19,0,0.05263157894736842,
reputation = 0,2,25,20,0,0.05,
reputation = 0,2,25,21,0,0.047619047619047616,
reputation = 0,2,25,22,0,0.045454545454545456,
reputation = 0,2,25,23,0,0.043478260869565216,
reputation = 0,2,25,24,0,0.041666666666666664,
reputation = 0,2,25,25,0,0.04,1845.0
reputation = 0,2,26,1,1,1.0,
reputation = 0,2,26,2,0,0.5,
reputation = 0,2,26,3,1,0.6666666666666666,
reputation = 0,2,26,4,1,0.75,
reputation = 0,2,26,5,0,0.6,
reputation = 0,2,26,6,0,0.5,
reputation = 0,2,26,7,0,0.42857142857142855,
reputation = 0,2,26,8,0,0.375,
